item_id,task_type,perturbation_type,input_similarity,input_drift,output_similarity,output_drift,baseline_similarity,noise_corrected_drift,similarity_metric
math_reasoning_10926,math_reasoning,paraphrasing,0.848041,0.151959,0.954124,0.045876,0.961172,0.007047,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,reordering,0.993383,0.006617,0.955667,0.044333,0.961172,0.005504,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise,0.968349,0.031651,0.960228,0.039772,0.961172,0.000943,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,context_injection,0.909514,0.090486,0.771569,0.228431,0.845066,0.073496,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,formatting_changes,0.92934,0.07066,0.784182,0.215818,0.845066,0.060884,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,paraphrasing,0.429342,0.570658,0.824455,0.175545,0.845066,0.02061,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,reordering,0.957949,0.042051,0.789492,0.210508,0.845066,0.055574,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise,1.0,0.0,0.809959,0.190041,0.845066,0.035107,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,context_injection,0.841881,0.158119,0.919154,0.080846,0.906556,-0.012598,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,formatting_changes,0.964186,0.035814,0.916598,0.083402,0.906556,-0.010041,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,paraphrasing,0.952483,0.047517,0.897126,0.102874,0.906556,0.00943,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,reordering,0.993915,0.006085,0.913606,0.086394,0.906556,-0.00705,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise,0.99872,0.00128,0.910037,0.089963,0.906556,-0.00348,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,context_injection,0.722675,0.277325,0.909181,0.090819,0.891134,-0.018047,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,formatting_changes,0.946621,0.053379,0.897979,0.102021,0.891134,-0.006845,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,paraphrasing,0.746414,0.253586,0.871801,0.128199,0.891134,0.019333,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,reordering,0.991935,0.008065,0.911123,0.088877,0.891134,-0.019989,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise,0.963325,0.036675,0.902136,0.097864,0.891134,-0.011002,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,context_injection,0.913364,0.086636,0.864813,0.135187,0.848252,-0.016561,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,formatting_changes,0.972159,0.027841,0.875881,0.124119,0.848252,-0.027628,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,paraphrasing,0.96962,0.03038,0.876508,0.123492,0.848252,-0.028255,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,reordering,0.994202,0.005798,0.884533,0.115467,0.848252,-0.036281,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise,0.954763,0.045237,0.899998,0.100002,0.848252,-0.051746,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,context_injection,0.94549,0.05451,0.950085,0.049915,0.941622,-0.008463,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,formatting_changes,0.969589,0.030411,0.948062,0.051938,0.941622,-0.00644,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,paraphrasing,0.823429,0.176571,0.92304,0.07696,0.941622,0.018581,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,reordering,0.990807,0.009193,0.934663,0.065337,0.941622,0.006959,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise,0.998889,0.001111,0.944714,0.055286,0.941622,-0.003092,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,context_injection,0.886132,0.113868,0.930391,0.069609,0.92571,-0.004681,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,formatting_changes,0.955093,0.044907,0.931657,0.068343,0.92571,-0.005947,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,paraphrasing,0.930129,0.069871,0.935715,0.064285,0.92571,-0.010005,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,reordering,0.993569,0.006431,0.927687,0.072313,0.92571,-0.001977,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise,0.995105,0.004895,0.928321,0.071679,0.92571,-0.002611,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,context_injection,0.81475,0.18525,0.903955,0.096045,0.896256,-0.007699,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,formatting_changes,0.976423,0.023577,0.906311,0.093689,0.896256,-0.010055,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,paraphrasing,0.891641,0.108359,0.889259,0.110741,0.896256,0.006996,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,reordering,0.988242,0.011758,0.903194,0.096806,0.896256,-0.006938,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise,0.996898,0.003102,0.905147,0.094853,0.896256,-0.008891,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,context_injection,0.837487,0.162513,0.961713,0.038287,0.980003,0.01829,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,formatting_changes,0.962939,0.037061,0.978689,0.021311,0.980003,0.001314,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,paraphrasing,0.970422,0.029578,0.967002,0.032998,0.980003,0.013001,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,reordering,0.989118,0.010882,0.967356,0.032644,0.980003,0.012647,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise,0.986643,0.013357,0.980542,0.019458,0.980003,-0.000539,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,context_injection,0.884194,0.115806,0.952248,0.047752,0.939082,-0.013167,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,formatting_changes,0.960023,0.039977,0.944738,0.055262,0.939082,-0.005657,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,paraphrasing,0.817323,0.182677,0.937596,0.062404,0.939082,0.001485,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,reordering,0.985532,0.014468,0.952708,0.047292,0.939082,-0.013626,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise,0.982521,0.017479,0.954126,0.045874,0.939082,-0.015045,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,context_injection,0.802074,0.197926,0.89721,0.10279,0.944571,0.047361,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,formatting_changes,0.929689,0.070311,0.924072,0.075928,0.944571,0.020499,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,paraphrasing,0.85656,0.14344,0.864046,0.135954,0.944571,0.080525,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,reordering,0.972765,0.027235,0.907362,0.092638,0.944571,0.037209,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise,0.856442,0.143558,0.921213,0.078787,0.944571,0.023358,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,context_injection,0.881948,0.118052,0.791285,0.208715,0.857055,0.06577,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,formatting_changes,0.878501,0.121499,0.832693,0.167307,0.857055,0.024362,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,paraphrasing,0.813272,0.186728,0.810124,0.189876,0.857055,0.046931,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,reordering,0.988316,0.011684,0.877604,0.122396,0.857055,-0.020549,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise,0.923408,0.076592,0.842761,0.157239,0.857055,0.014295,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,context_injection,0.757197,0.242803,0.845342,0.154658,0.818667,-0.026675,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,formatting_changes,0.893875,0.106125,0.845227,0.154773,0.818667,-0.02656,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,paraphrasing,0.828622,0.171378,0.794979,0.205021,0.818667,0.023688,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,reordering,0.978045,0.021955,0.863925,0.136075,0.818667,-0.045258,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise,0.94311,0.05689,0.843055,0.156945,0.818667,-0.024388,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,context_injection,0.865825,0.134175,0.882429,0.117571,0.885328,0.002899,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,formatting_changes,0.952531,0.047469,0.894286,0.105714,0.885328,-0.008957,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,paraphrasing,0.634324,0.365676,0.762884,0.237116,0.885328,0.122444,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,reordering,0.961041,0.038959,0.896541,0.103459,0.885328,-0.011213,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise,0.926092,0.073908,0.900189,0.099811,0.885328,-0.014861,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,context_injection,0.804269,0.195731,0.951764,0.048236,0.969356,0.017592,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,formatting_changes,0.912056,0.087944,0.957528,0.042472,0.969356,0.011828,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,paraphrasing,0.940968,0.059032,0.969852,0.030148,0.969356,-0.000496,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,reordering,0.977421,0.022579,0.969848,0.030152,0.969356,-0.000492,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise,0.972126,0.027874,0.970811,0.029189,0.969356,-0.001455,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,context_injection,0.911431,0.088569,0.85024,0.14976,0.821372,-0.028868,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,formatting_changes,0.922426,0.077574,0.833384,0.166616,0.821372,-0.012012,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,paraphrasing,0.905637,0.094363,0.782439,0.217561,0.821372,0.038933,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,reordering,0.979421,0.020579,0.817731,0.182269,0.821372,0.003641,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise,0.975454,0.024546,0.826701,0.173299,0.821372,-0.00533,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,context_injection,0.911465,0.088535,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,formatting_changes,0.892586,0.107414,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,paraphrasing,0.709077,0.290923,0.488405,0.511595,1.0,0.511595,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,reordering,0.987589,0.012411,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise,0.980013,0.019987,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,context_injection,0.766253,0.233747,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,formatting_changes,0.869311,0.130689,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,paraphrasing,0.835919,0.164081,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,reordering,0.966719,0.033281,0.619176,0.380824,1.0,0.380824,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise,0.985824,0.014176,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,context_injection,0.891906,0.108094,0.911987,0.088013,1.0,0.088013,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,formatting_changes,0.950153,0.049847,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,paraphrasing,0.713569,0.286431,0.567897,0.432103,1.0,0.432103,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,reordering,0.972859,0.027141,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise,0.949887,0.050113,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,context_injection,0.706487,0.293513,0.898017,0.101983,0.918756,0.020739,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,formatting_changes,0.900984,0.099016,0.89816,0.10184,0.918756,0.020596,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,paraphrasing,0.867914,0.132086,0.422557,0.577443,0.918756,0.496199,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,reordering,0.971379,0.028621,0.905041,0.094959,0.918756,0.013715,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise,0.898811,0.101189,0.890242,0.109758,0.918756,0.028514,sentence-transformers/all-MiniLM-L6-v2
