item_id,task_type,perturbation_type,perturbation_intensity,surface_noise_error_count,surface_noise_eligible_token_count,input_similarity,input_drift,output_similarity,output_drift,baseline_similarity,noise_corrected_drift,similarity_metric
code_generation_107,code_generation,surface_noise_high,high,4,42,0.950588,0.049412,0.923424,0.076576,0.921048,-0.002376,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise_low,low,1,42,0.998616,0.001384,0.922255,0.077745,0.921048,-0.001207,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise_medium,medium,2,42,0.990781,0.009219,0.921427,0.078573,0.921048,-0.000379,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_high,high,8,94,0.941589,0.058411,0.871052,0.128948,0.894483,0.023431,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_low,low,1,94,0.998973,0.001027,0.876123,0.123877,0.894483,0.01836,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_medium,medium,3,94,0.892528,0.107472,0.841931,0.158069,0.894483,0.052552,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_high,high,5,61,0.978632,0.021368,0.964721,0.035279,0.965166,0.000444,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_low,low,1,61,0.996218,0.003782,0.955842,0.044158,0.965166,0.009324,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_medium,medium,2,61,0.994768,0.005232,0.939904,0.060096,0.965166,0.025262,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_high,high,3,21,0.989578,0.010422,0.93052,0.06948,0.93597,0.005449,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_low,low,1,21,0.994334,0.005666,0.941545,0.058455,0.93597,-0.005575,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_medium,medium,2,21,0.986337,0.013663,0.926901,0.073099,0.93597,0.009069,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_high,high,3,15,0.942029,0.057971,0.956015,0.043985,0.943335,-0.012681,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_low,low,1,15,0.974973,0.025027,0.933911,0.066089,0.943335,0.009424,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_medium,medium,2,15,0.950955,0.049045,0.948042,0.051958,0.943335,-0.004707,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise_high,high,4,48,0.97199,0.02801,0.929925,0.070075,0.925572,-0.004353,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise_low,low,1,48,0.966204,0.033796,0.931577,0.068423,0.925572,-0.006005,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise_medium,medium,2,48,0.995063,0.004937,0.938933,0.061067,0.925572,-0.013361,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise_high,high,3,19,0.928799,0.071201,0.931498,0.068502,0.943251,0.011753,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise_low,low,1,19,0.960353,0.039647,0.953914,0.046086,0.943251,-0.010663,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise_medium,medium,2,19,0.981285,0.018715,0.943468,0.056532,0.943251,-0.000218,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise_high,high,3,35,0.853284,0.146716,0.910246,0.089754,0.923312,0.013066,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise_low,low,1,35,0.96676,0.03324,0.937383,0.062617,0.923312,-0.014071,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise_medium,medium,2,35,0.958402,0.041598,0.899628,0.100372,0.923312,0.023684,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise_high,high,3,14,0.89004,0.10996,0.952509,0.047491,0.954021,0.001513,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise_low,low,1,14,0.947164,0.052836,0.964095,0.035905,0.954021,-0.010074,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise_medium,medium,2,14,0.979342,0.020658,0.946384,0.053616,0.954021,0.007638,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise_high,high,3,20,0.912247,0.087753,0.893111,0.106889,0.859747,-0.033363,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise_low,low,1,20,0.99826,0.00174,0.901424,0.098576,0.859747,-0.041677,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise_medium,medium,2,20,0.961283,0.038717,0.869907,0.130093,0.859747,-0.01016,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise_high,high,6,69,0.985322,0.014678,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise_low,low,1,69,0.998058,0.001942,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise_medium,medium,3,69,0.99145,0.00855,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise_high,high,9,102,0.947475,0.052525,0.967762,0.032238,0.97514,0.007378,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise_low,low,1,102,0.993747,0.006253,0.95974,0.04026,0.97514,0.0154,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise_medium,medium,4,102,0.991388,0.008612,0.980272,0.019728,0.97514,-0.005131,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise_high,high,9,104,0.959778,0.040222,0.998655,0.001345,0.997309,-0.001346,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise_low,low,1,104,0.97367,0.02633,0.995297,0.004703,0.997309,0.002012,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise_medium,medium,4,104,0.988845,0.011155,0.998206,0.001794,0.997309,-0.000897,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise_high,high,6,69,0.988901,0.011099,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise_low,low,1,69,0.998447,0.001553,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise_medium,medium,3,69,0.988958,0.011042,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise_high,high,8,97,0.942012,0.057988,0.944723,0.055277,0.93503,-0.009693,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise_low,low,1,97,0.996659,0.003341,0.942981,0.057019,0.93503,-0.007951,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise_medium,medium,3,97,0.98942,0.01058,0.949132,0.050868,0.93503,-0.014102,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise_high,high,10,123,0.951724,0.048276,0.990307,0.009693,1.0,0.009693,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise_low,low,1,123,0.994903,0.005097,0.994223,0.005777,1.0,0.005778,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise_medium,medium,4,123,0.991609,0.008391,0.994223,0.005777,1.0,0.005778,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise_high,high,8,90,0.958956,0.041044,0.859632,0.140368,0.794202,-0.06543,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise_low,low,1,90,0.996656,0.003344,0.853242,0.146758,0.794202,-0.05904,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise_medium,medium,3,90,0.953031,0.046969,0.879366,0.120634,0.794202,-0.085164,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise_high,high,5,57,0.952478,0.047522,0.839564,0.160436,0.883945,0.044381,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise_low,low,1,57,0.998224,0.001776,0.86833,0.13167,0.883945,0.015615,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,surface_noise_medium,medium,2,57,0.991257,0.008743,0.879241,0.120759,0.883945,0.004704,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise_high,high,7,77,0.948568,0.051432,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise_low,low,1,77,0.996746,0.003254,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,surface_noise_medium,medium,3,77,0.989394,0.010606,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise_high,high,6,66,0.946041,0.053959,0.976448,0.023552,1.0,0.023552,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise_low,low,1,66,0.991035,0.008965,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,surface_noise_medium,medium,2,66,0.994731,0.005269,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise_high,high,3,13,0.804841,0.195159,0.955009,0.044991,0.947465,-0.007544,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise_low,low,1,13,0.962577,0.037423,0.961176,0.038824,0.947465,-0.013711,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,surface_noise_medium,medium,2,13,0.888508,0.111492,0.956669,0.043331,0.947465,-0.009204,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise_high,high,7,84,0.975665,0.024335,0.89955,0.10045,0.857862,-0.041688,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise_low,low,1,84,1.0,0.0,0.806455,0.193545,0.857862,0.051407,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,surface_noise_medium,medium,3,84,0.977899,0.022101,0.795454,0.204546,0.857862,0.062408,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise_high,high,3,10,0.854502,0.145498,0.910672,0.089328,0.886725,-0.023947,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise_low,low,1,10,0.848621,0.151379,0.906221,0.093779,0.886725,-0.019497,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,surface_noise_medium,medium,2,10,0.963364,0.036636,0.907866,0.092134,0.886725,-0.021142,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise_high,high,3,16,0.952335,0.047665,0.901645,0.098355,0.893165,-0.00848,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise_low,low,1,16,0.857035,0.142965,0.895481,0.104519,0.893165,-0.002316,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,surface_noise_medium,medium,2,16,0.923066,0.076934,0.897735,0.102265,0.893165,-0.004571,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise_high,high,3,12,0.936752,0.063248,0.905796,0.094204,0.820816,-0.08498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise_low,low,1,12,0.903974,0.096026,0.907313,0.092687,0.820816,-0.086498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,surface_noise_medium,medium,2,12,0.923389,0.076611,0.852912,0.147088,0.820816,-0.032096,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise_high,high,3,18,0.928648,0.071352,0.932981,0.067019,0.929779,-0.003202,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise_low,low,1,18,0.958043,0.041957,0.946872,0.053128,0.929779,-0.017093,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,surface_noise_medium,medium,2,18,0.897642,0.102358,0.924761,0.075239,0.929779,0.005018,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise_high,high,3,8,0.95465,0.04535,0.945132,0.054868,0.93653,-0.008602,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise_low,low,1,8,0.997931,0.002069,0.932553,0.067447,0.93653,0.003977,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,surface_noise_medium,medium,2,8,0.993624,0.006376,0.93634,0.06366,0.93653,0.00019,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise_high,high,3,19,0.916238,0.083762,0.90565,0.09435,0.903701,-0.00195,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise_low,low,1,19,0.982382,0.017618,0.912199,0.087801,0.903701,-0.008498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,surface_noise_medium,medium,2,19,0.981805,0.018195,0.918438,0.081562,0.903701,-0.014738,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise_high,high,3,9,0.885333,0.114667,0.959426,0.040574,0.98003,0.020604,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise_low,low,1,9,0.9514,0.0486,0.970095,0.029905,0.98003,0.009935,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,surface_noise_medium,medium,2,9,0.985536,0.014464,0.977463,0.022537,0.98003,0.002567,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise_high,high,3,14,0.930855,0.069145,0.962544,0.037456,0.95771,-0.004834,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise_low,low,1,14,0.906476,0.093524,0.968969,0.031031,0.95771,-0.011259,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,surface_noise_medium,medium,2,14,0.970367,0.029633,0.963623,0.036377,0.95771,-0.005913,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise_high,high,3,7,0.91371,0.08629,0.935755,0.064245,0.950631,0.014876,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise_low,low,1,7,0.960491,0.039509,0.936371,0.063629,0.950631,0.01426,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,surface_noise_medium,medium,2,7,0.814562,0.185438,0.917621,0.082379,0.950631,0.03301,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise_high,high,3,12,0.812146,0.187854,0.850517,0.149483,0.761758,-0.088759,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise_low,low,1,12,0.944258,0.055742,0.801465,0.198535,0.761758,-0.039707,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,surface_noise_medium,medium,2,12,0.898934,0.101066,0.880879,0.119121,0.761758,-0.119121,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise_high,high,3,8,0.860598,0.139402,0.90066,0.09934,0.859518,-0.041143,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise_low,low,1,8,0.912568,0.087432,0.854594,0.145406,0.859518,0.004924,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,surface_noise_medium,medium,2,8,0.795482,0.204518,0.843818,0.156182,0.859518,0.015699,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise_high,high,3,25,0.824729,0.175271,0.904958,0.095042,0.895608,-0.00935,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise_low,low,1,25,0.957496,0.042504,0.906692,0.093308,0.895608,-0.011084,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,surface_noise_medium,medium,2,25,0.935917,0.064083,0.886624,0.113376,0.895608,0.008984,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise_high,high,3,10,0.743737,0.256263,0.928607,0.071393,0.96693,0.038323,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise_low,low,1,10,0.987487,0.012513,0.969788,0.030212,0.96693,-0.002857,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,surface_noise_medium,medium,2,10,0.898109,0.101891,0.933654,0.066346,0.96693,0.033276,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise_high,high,3,11,0.894995,0.105005,0.841182,0.158818,0.850101,0.008919,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise_low,low,1,11,0.947881,0.052119,0.801743,0.198257,0.850101,0.048359,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,surface_noise_medium,medium,2,11,0.929308,0.070692,0.847173,0.152827,0.850101,0.002929,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise_high,high,3,9,0.698335,0.301665,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise_low,low,1,9,0.983369,0.016631,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,surface_noise_medium,medium,2,9,0.868714,0.131286,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise_high,high,3,10,0.731817,0.268183,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise_low,low,1,10,0.849732,0.150268,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,surface_noise_medium,medium,2,10,0.914507,0.085493,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise_high,high,3,10,0.727149,0.272851,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise_low,low,1,10,0.771482,0.228518,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,surface_noise_medium,medium,2,10,0.924142,0.075858,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise_high,high,3,15,0.945407,0.054593,0.69281,0.30719,0.92813,0.23532,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise_low,low,1,15,0.986273,0.013727,0.912849,0.087151,0.92813,0.015281,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,surface_noise_medium,medium,2,15,0.987817,0.012183,0.924962,0.075038,0.92813,0.003168,sentence-transformers/all-MiniLM-L6-v2
