case_id,task,dataset,perturbation,uncorrected_single_drift,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,correctness_sample_noise,harmful_correctness_drop,correctness_changed
promptrobust_pdr_context_injection_humaneval_01,code_generation,HumanEval,context_injection,0.06426064840613255,0.060323051593910194,0.0,0.030161525796955097,0.05359846933600528,0.023436943539050185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_humaneval_02,code_generation,HumanEval,context_injection,0.012705240133458195,0.0006684420559623557,0.008043055513881589,0.0043557487849219725,0.006245081083189552,0.0018893322982675795,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_humaneval_03,code_generation,HumanEval,context_injection,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_humaneval_04,code_generation,HumanEval,context_injection,0.016929767577683164,0.11318278434687572,0.0,0.05659139217343786,0.07826246467793811,0.021671072504500254,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,-0.5000000000000001,0.23570226039551584,0,1
promptrobust_pdr_context_injection_humaneval_05,code_generation,HumanEval,context_injection,0.004557916923867089,0.0030386112825780596,0.025660512198514618,0.014349561740546338,0.02811700439016586,0.013767442649619521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_humaneval_06,code_generation,HumanEval,context_injection,0.16342585999802894,0.009226176813102263,0.1089505733320193,0.05908837507256078,0.11104000150625176,0.05195162643369098,0.0,1.0,-1.0,1.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0.0,0.23570226039551584,0,1
promptrobust_pdr_context_injection_humaneval_07,code_generation,HumanEval,context_injection,0.03632277385305427,0.026473948246502583,0.025424940444891114,0.025949444345696848,0.02149766471556014,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_humaneval_08,code_generation,HumanEval,context_injection,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_humaneval_09,code_generation,HumanEval,context_injection,0.12038562604912684,0.08036630038151316,0.0762429988578323,0.07830464961967273,0.06661401936765945,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.4714045207910317,1,1
promptrobust_pdr_context_injection_humaneval_10,code_generation,HumanEval,context_injection,0.0810419715515569,0.11394266688070598,0.07797744791775485,0.09596005739923041,0.10375853436519983,0.007798476965969414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_humaneval_01,code_generation,HumanEval,formatting,0.06426064840613255,0.013449164515809834,0.06435650640125552,0.03890283545853268,0.03397233816766749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_humaneval_02,code_generation,HumanEval,formatting,0.131244308302501,0.0022941663361029097,0.12732665021105313,0.06481040827357802,0.09726491071839281,0.03245450244481479,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.23570226039551584,1,1
promptrobust_pdr_formatting_humaneval_03,code_generation,HumanEval,formatting,0.3492243914049977,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.3492243914049977,0.3492243914049976,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1
promptrobust_pdr_formatting_humaneval_04,code_generation,HumanEval,formatting,0.0,0.1131882525751619,0.1131882525751619,0.1131882525751619,0.07545883505010793,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.4714045207910317,0,0
promptrobust_pdr_formatting_humaneval_05,code_generation,HumanEval,formatting,0.03849076829777187,0.012849003402929604,0.027825944844702504,0.020337474123816056,0.032588084108923096,0.01225060998510704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_humaneval_06,code_generation,HumanEval,formatting,0.0,0.009226176813102263,0.009226176813102263,0.009226176813102263,0.006150784542068176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_humaneval_07,code_generation,HumanEval,formatting,0.041727724440129954,0.026969029777463294,0.028359485714943067,0.02766425774620318,0.02312050129311473,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_humaneval_08,code_generation,HumanEval,formatting,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_humaneval_09,code_generation,HumanEval,formatting,0.12338314341903223,0.00047798497230910897,1.1102230246251565e-16,0.00023899248615461,0.12326928112127196,0.12303028863511735,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1
promptrobust_pdr_formatting_humaneval_10,code_generation,HumanEval,formatting,0.19512568478672565,0.0780679989642659,0.13689462149635834,0.10748131023031213,0.14768351833731524,0.04020220810700312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_01,code_generation,HumanEval,paraphrase,0.06426064840613255,0.042840432270755034,0.0,0.021420216135377517,0.042840432270755034,0.021420216135377517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_02,code_generation,HumanEval,paraphrase,0.007569158893299566,0.0007880085058320127,0.007779562142912015,0.004283785324372014,0.005793745987251168,0.0015099606628791546,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_03,code_generation,HumanEval,paraphrase,4.355258617083635e-07,0.0,0.0,0.0,4.355258617083635e-07,4.355258617083635e-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_04,code_generation,HumanEval,paraphrase,0.16976289069259265,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.16976289069259265,0.16976289069259254,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1
promptrobust_pdr_paraphrase_humaneval_05,code_generation,HumanEval,paraphrase,0.0,0.010540987880699607,0.0030386112825780596,0.0067897995816388335,0.006738725202331899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_06,code_generation,HumanEval,paraphrase,0.028164610617381847,0.009226176813102263,0.026965596932081042,0.018095886872591654,0.015193325761436862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_07,code_generation,HumanEval,paraphrase,0.037216367303794406,0.030497010965456244,0.0032661065912780174,0.016881558778367133,0.027305225665004276,0.010423666886637144,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_08,code_generation,HumanEval,paraphrase,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_humaneval_09,code_generation,HumanEval,paraphrase,0.0005769702747013827,0.0012046683303085226,0.0009274622842785352,0.0010660653072935289,0.0010961659871115107,3.0100679817981774e-05,0.0,1.0,-1.0,1.0,0.0,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,-2.0000000000000004,0.23570226039551584,0,1
promptrobust_pdr_paraphrase_humaneval_10,code_generation,HumanEval,paraphrase,0.07870330237710432,0.11261742146083797,0.054027981034371265,0.08332270124760462,0.07795258366788477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_01,code_generation,HumanEval,reordering,0.020216412267285322,0.06034432428073629,0.013449164515809834,0.03689674439827306,0.0317362788436845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_02,code_generation,HumanEval,reordering,0.016992026629095047,0.014375093846890582,0.008078213369992001,0.011226653608441292,0.011906424079019588,0.0006797704705782965,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_03,code_generation,HumanEval,reordering,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_04,code_generation,HumanEval,reordering,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_05,code_generation,HumanEval,reordering,0.05678455467729082,0.028262534162897552,0.04085569635331684,0.0345591152581072,0.029277740788758926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_06,code_generation,HumanEval,reordering,0.0,0.009226176813102263,0.009226176813102263,0.009226176813102263,0.006150784542068176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_07,code_generation,HumanEval,reordering,0.0,0.02752392314141579,0.012825246693316009,0.0201745849173659,0.021047351352823193,0.0008727664354572923,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_08,code_generation,HumanEval,reordering,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_reordering_humaneval_09,code_generation,HumanEval,reordering,0.11365506961089822,0.07577004640726548,0.0,0.03788502320363274,0.03788502320363274,0.0,0.0,1.0,-1.0,1.0,0.0,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,-0.5000000000000001,0.23570226039551584,0,1
promptrobust_pdr_reordering_humaneval_10,code_generation,HumanEval,reordering,0.19009762261669694,0.1280266252109686,0.1266222014713736,0.12732441334117112,0.10600490029596928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_01,code_generation,HumanEval,surface_noise,0.0642644721202521,3.0962337745539986e-07,0.013449164515809834,0.006724737069593645,0.07501916417337598,0.06829442710378233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_02,code_generation,HumanEval,surface_noise,0.0004498546340206966,0.005154795583236245,0.014825570737486285,0.009990183160361266,0.009004814039053967,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_03,code_generation,HumanEval,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_04,code_generation,HumanEval,surface_noise,0.16979210642152154,0.11318825257516192,0.13393573812844264,0.12356199535180229,0.08990787477852341,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.4714045207910317,0,0
promptrobust_pdr_surface_noise_humaneval_05,code_generation,HumanEval,surface_noise,0.0026820328913418345,0.013675275308615195,0.0030386112825780596,0.008356943295596627,0.007528100476336218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_06,code_generation,HumanEval,surface_noise,0.05926565957685104,0.03369049020000044,0.04065749173431854,0.037173990967159495,0.049390033311389914,0.012216042344230418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_07,code_generation,HumanEval,surface_noise,0.03939634923998936,0.02711803523449674,0.029461286860248775,0.02828966104737276,0.023237146169358434,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_08,code_generation,HumanEval,surface_noise,7.089612855670779e-07,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,7.089612855670779e-07,7.089612854560556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_surface_noise_humaneval_09,code_generation,HumanEval,surface_noise,0.12312336255741219,3.516681717682009e-07,0.030968058301400998,0.015484204984786382,0.11758460084061814,0.10210039585583176,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1
promptrobust_pdr_surface_noise_humaneval_10,code_generation,HumanEval,surface_noise,0.16817062242529135,0.13474474660170643,0.16026946900062844,0.14750710780116744,0.12361354522495512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,0.0,2.5767645580228776e-07,0.06874118471342316,0.03437072119493948,0.06874632611536623,0.034375604920426746,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0.0,0.23570226039551584,0,1
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,0.02919495159245933,0.019458261978567926,0.019448284907311653,0.01945327344293979,0.016216257030866314,0.0,0.0,1.0,-1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,-1.0,0.4714045207910317,0,1
promptrobust_pdr_context_injection_squad_04,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_05,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_06,factual_qa,SQuAD V2,context_injection,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_07,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_08,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_09,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_context_injection_squad_10,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_01,factual_qa,SQuAD V2,formatting,4.849684922536568e-07,0.0,0.0,0.0,4.849684922536568e-07,4.849684922536568e-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_02,factual_qa,SQuAD V2,formatting,0.10311177707013464,0.0687411847134231,0.0,0.03437059235671155,0.03437059235671155,0.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.23570226039551584,1,1
promptrobust_pdr_formatting_squad_03,factual_qa,SQuAD V2,formatting,0.0,0.019448284907311653,0.0,0.009724142453655826,0.009724142453655826,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.23570226039551584,1,1
promptrobust_pdr_formatting_squad_04,factual_qa,SQuAD V2,formatting,0.0015666150468879314,1.1102230246251565e-16,2.220446049250313e-16,1.6653345369377348e-16,0.0015666150468879314,0.0015666150468877649,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_05,factual_qa,SQuAD V2,formatting,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_06,factual_qa,SQuAD V2,formatting,4.963294029103338e-07,1.1102230246251565e-16,0.0,5.551115123125783e-17,4.963294029103338e-07,4.963294028548226e-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_07,factual_qa,SQuAD V2,formatting,4.5152502636813807e-07,0.0,0.0,0.0,4.5152502636813807e-07,4.5152502636813807e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_08,factual_qa,SQuAD V2,formatting,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_09,factual_qa,SQuAD V2,formatting,0.0,0.06487840711693882,0.06487840711693882,0.06487840711693882,0.043252271411292544,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_formatting_squad_10,factual_qa,SQuAD V2,formatting,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,4.849684922536568e-07,0.0,0.0,0.0,4.849684922536568e-07,4.849684922536568e-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_squad_02,factual_qa,SQuAD V2,paraphrase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_squad_03,factual_qa,SQuAD V2,paraphrase,3.7363634963760717e-07,0.019458261978567926,0.0,0.009729130989283963,0.009721945989479766,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.23570226039551584,1,1
promptrobust_pdr_paraphrase_squad_04,factual_qa,SQuAD V2,paraphrase,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
promptrobust_pdr_paraphrase_squad_05,factual_qa,SQuAD V2,paraphrase,2.278288269930151e-05,0.0,0.0,0.0,2.278288269930151e-05,2.278288269930151e-05,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
